window,regime_label,test_period,n_train,overall_accuracy,hit_rate,confident_trade_pct,n_test
3,Demonetization,2016-01-01 -> 2016-12-31,8967,0.5004,0.4978,0.7375,8918
4,GST Launch,2017-01-01 -> 2017-12-31,21070,0.4989,0.5012,0.5734,8967
5,IL&FS Crisis,2018-01-01 -> 2018-12-31,33222,0.501,0.5089,0.4858,8869
6,Elections/Slowdown,2019-01-01 -> 2019-12-31,45276,0.5185,0.5213,0.4533,8820
7,COVID Crash,2020-01-01 -> 2020-12-31,57281,0.5093,0.5098,0.6369,9163
8,Post-COVID Bull,2021-01-01 -> 2021-04-30,69629,0.4653,0.4419,0.585,735
