window,v3_hr,v2_hr,v3_cov,v2_cov,n_test
Demonetization,0.4877291543465405,0.4971115840681058,0.7584660237721462,0.7376093294460642,8918
GST Launch,0.5026415094339622,0.5014359563469271,0.5910560945689751,0.5824690531950485,8967
IL&FS Crisis,0.5156211562115621,0.5133470225872689,0.45833803134513473,0.49419325741346265,8869
Elections/Slowdown,0.5203518101861321,0.5290306503862447,0.5543083900226757,0.4549886621315193,8820
COVID Crash,0.5344319399785638,0.505474145191174,0.8145803776055877,0.6479319000327404,9163
