variant,mean_hr,mean_cov,gap_vs_full,p_value
Full V3,0.5104256135511506,0.6747388318262773,0.0,1.0
No SE-Net,0.511204706166428,0.6740036709833364,0.07790926152774214,0.8651
No MoE,0.5150932627068652,0.6100414722671839,0.4667649155714604,0.1143
No Dual-Branch,0.5068551217638159,0.5776130027305658,-0.35704917873347064,0.6474
Plain BCE,0.5117079099570981,0.5822985993087479,0.12822964059475694,0.7538
