,Demonetization,GST Launch,IL&FS Crisis,Elections/Slowdown,COVID Crash
2016-10-25,1018535.9408588673,,,,
2016-10-26,1019542.5663588858,,,,
2016-10-27,1019853.3441123804,,,,
2016-10-28,1019919.2188611539,,,,
2016-10-30,1019779.4661426161,,,,
2016-11-01,1019691.9760102762,,,,
2016-11-02,1020862.7896918049,,,,
2016-11-03,1022224.6081729846,,,,
2016-11-04,1022553.6453942189,,,,
2016-11-07,1021348.9228653476,,,,
2016-11-08,1020950.0201605733,,,,
2016-11-09,1023391.0356782378,,,,
2016-11-10,1020904.4652439688,,,,
2016-11-11,1024729.9187836575,,,,
2016-11-15,1026543.1256961455,,,,
2016-11-16,1024868.0857964631,,,,
2016-11-17,1025300.70813861,,,,
2016-11-18,1024382.0215119988,,,,
2016-11-21,1026594.5917355255,,,,
2016-11-22,1025668.1747640485,,,,
2016-11-23,1025612.0984951005,,,,
2016-11-24,1026071.3972810516,,,,
2016-11-25,1024061.1935239132,,,,
2016-11-28,1023967.0825346572,,,,
2016-11-29,1023566.73750894,,,,
2016-11-30,1022808.7485437338,,,,
2016-12-01,1024023.4186815678,,,,
2016-12-02,1025227.6089877925,,,,
2016-12-05,1024699.3792446759,,,,
2016-12-06,1024715.1386629627,,,,
2016-12-07,1025507.5213111929,,,,
2016-12-08,1023712.3220077502,,,,
2016-12-09,1023983.29695411,,,,
2016-12-12,1025359.618981563,,,,
2016-12-13,1025894.6878879012,,,,
2016-12-14,1025687.8152719454,,,,
2016-12-15,1025657.1128355765,,,,
2016-12-16,1025265.2097120102,,,,
2016-12-19,1026633.3550083365,,,,
2016-12-20,1026816.451805421,,,,
2016-12-21,1026583.6783069776,,,,
2016-12-22,1028619.3461754125,,,,
2016-12-23,1027358.4444716584,,,,
2016-12-26,1028840.7061802328,,,,
2016-12-27,1027708.1207910544,,,,
2016-12-28,1027441.8952136413,,,,
2016-12-29,1026280.3639207829,,,,
2017-04-06,,1000000.0,,,
2017-04-07,,999837.4492255949,,,
2017-04-10,,1000581.6256035744,,,
2017-04-11,,1000861.6972270155,,,
2017-04-12,,1001004.5491316194,,,
2017-04-13,,1000199.9209886849,,,
2017-04-17,,999466.4214979628,,,
2017-04-18,,998805.9291944902,,,
2017-04-19,,998594.3661697252,,,
2017-04-20,,998323.3785233581,,,
2017-04-21,,997875.548056659,,,
2017-04-24,,999399.4624190669,,,
2017-04-25,,1001243.3147393516,,,
2017-04-26,,1000847.0109314318,,,
2017-04-27,,1000181.9218094891,,,
2017-04-28,,999057.9702519268,,,
2017-05-02,,999081.1437625558,,,
2017-05-03,,999200.1220264742,,,
2017-05-04,,999716.4590346571,,,
2017-05-05,,1001147.0768208164,,,
2017-05-08,,1000269.4773819989,,,
2017-05-09,,1000851.074491869,,,
2017-05-10,,1001472.9266969786,,,
2017-05-11,,1002224.7276568213,,,
2017-05-12,,1001640.9518949357,,,
2017-05-15,,1001584.427726546,,,
2017-05-16,,1001852.8030374983,,,
2017-05-17,,1001950.7673361183,,,
2017-05-18,,1001699.5966920411,,,
2017-05-19,,1001847.9680413796,,,
2017-05-22,,1000612.2803604209,,,
2017-05-23,,1000693.7494920073,,,
2017-05-24,,1001736.1472045652,,,
2017-05-25,,1003289.799537122,,,
2017-05-26,,1003013.9590581576,,,
2017-05-29,,1002129.3075471909,,,
2017-05-30,,1002832.2016129055,,,
2017-05-31,,1003995.4241401536,,,
2017-06-01,,1003917.0373609611,,,
2017-06-02,,1004890.3388431959,,,
2017-06-05,,1004305.112208284,,,
2017-06-06,,1004486.432914997,,,
2017-06-07,,1004944.7542100549,,,
2017-06-08,,1004302.2067079727,,,
2017-06-09,,1004680.5877309602,,,
2017-06-12,,1003660.0002707414,,,
2017-06-13,,1003852.7028340574,,,
2017-06-14,,1003155.2959252178,,,
2017-06-15,,1002689.5677605817,,,
2017-06-16,,1003582.4951852168,,,
2017-06-19,,1003718.52228628,,,
2017-06-20,,1003799.938814548,,,
2017-06-21,,1003953.4011424362,,,
2017-06-22,,1003464.120321657,,,
2017-06-23,,1002526.5538652109,,,
2017-06-27,,1001875.15555386,,,
2017-06-28,,1001162.8880059721,,,
2017-06-29,,1001244.0927729268,,,
2017-06-30,,1001544.2449434962,,,
2017-07-03,,1002171.3831541071,,,
2017-07-04,,1001727.3699754574,,,
2017-07-05,,1002105.9746943673,,,
2017-07-06,,1001969.76556585,,,
2017-07-07,,1001478.1347230085,,,
2017-07-10,,1001295.1379745076,,,
2017-07-11,,1000630.0407943546,,,
2017-07-12,,1000507.9551497254,,,
2017-07-13,,1005891.31665558,,,
2017-07-14,,1006016.9632137964,,,
2017-07-17,,1005903.3889189012,,,
2017-07-18,,1005598.7505720498,,,
2017-07-19,,1004698.6516762988,,,
2017-07-20,,1004844.4138993896,,,
2017-07-21,,1004120.6885027109,,,
2017-07-24,,1004398.6246524296,,,
2017-07-25,,1005169.434743473,,,
2017-07-26,,1004815.7770289052,,,
2017-07-27,,1005908.4181131017,,,
2017-07-28,,1006642.2935887963,,,
2017-07-31,,1006933.4733607913,,,
2017-08-01,,1006648.2116762483,,,
2017-08-02,,1006483.1371972293,,,
2017-08-03,,1006651.1067766999,,,
2017-08-04,,1006238.1224030011,,,
2017-08-07,,1006121.6419227784,,,
2017-08-08,,1007085.275614516,,,
2017-08-09,,1007384.2534737558,,,
2017-08-10,,1008245.3102235507,,,
2017-08-11,,1008178.9887615301,,,
2017-08-14,,1007696.5430043896,,,
2017-08-16,,1008145.2346914024,,,
2017-08-17,,1007130.4831367043,,,
2017-08-18,,1006953.3201796752,,,
2017-08-21,,1006993.48663411,,,
2017-08-22,,1006444.1313644222,,,
2017-08-23,,1006074.9851656683,,,
2017-08-24,,1006409.4492444831,,,
2017-08-28,,1005492.9419803683,,,
2017-08-29,,1006092.1726285827,,,
2017-08-30,,1004904.2588592055,,,
2017-08-31,,1005056.6213019354,,,
2017-09-01,,1004642.8032286043,,,
2017-09-04,,1004848.029508426,,,
2017-09-05,,1003846.0199564833,,,
2017-09-06,,1003577.2295941823,,,
2017-09-07,,1003052.5020714212,,,
2017-09-08,,1003289.1118480285,,,
2017-09-11,,1003080.6952305933,,,
2017-09-12,,1002723.1576746234,,,
2017-09-13,,1002798.8497209791,,,
2017-09-14,,1002871.3761718121,,,
2017-09-15,,1002237.831702308,,,
2017-09-18,,1001856.026796168,,,
2017-09-19,,1001358.6408481734,,,
2017-09-20,,1001636.833554874,,,
2017-09-21,,1001078.839700726,,,
2017-09-22,,1000942.147746075,,,
2017-09-25,,1000416.9915613908,,,
2017-09-26,,1000383.5187155205,,,
2017-09-27,,999903.5609764425,,,
2017-09-28,,999872.2275611903,,,
2017-09-29,,1001453.1223988888,,,
2017-10-03,,1002373.9634832509,,,
2017-10-04,,1002145.1520658535,,,
2017-10-05,,1001996.7909314892,,,
2017-10-06,,1002738.6215561003,,,
2017-10-09,,1002943.380801047,,,
2017-10-10,,1003267.9472305678,,,
2017-10-11,,1002354.4353541998,,,
2017-10-12,,1003470.2231860927,,,
2017-10-13,,1003309.6065303708,,,
2017-10-16,,1003090.4180163954,,,
2017-10-17,,1003082.5996355569,,,
2017-10-18,,1002936.6049287458,,,
2017-10-19,,1002095.4683079784,,,
2017-10-23,,1000515.5742797656,,,
2017-10-24,,1000234.5088428628,,,
2017-10-25,,994364.546319532,,,
2017-10-26,,994533.8509916174,,,
2017-10-27,,995733.4518314189,,,
2017-10-30,,995430.7235258974,,,
2017-10-31,,996420.7416295761,,,
2017-11-01,,995496.8573417491,,,
2017-11-02,,995981.7362481895,,,
2017-11-03,,995490.3488044133,,,
2017-11-06,,995163.2855128443,,,
2017-11-07,,995587.1982749401,,,
2017-11-08,,994991.3303894993,,,
2017-11-09,,994831.4815371579,,,
2017-11-10,,993566.7606887,,,
2017-11-13,,991918.9420629467,,,
2017-11-14,,991441.1609462322,,,
2017-11-15,,989387.8529511074,,,
2017-11-16,,990730.0032848923,,,
2017-11-17,,992077.2703581394,,,
2017-11-20,,992316.3759679124,,,
2017-11-21,,993194.5608217372,,,
2017-11-22,,992969.2589420533,,,
2017-11-23,,992315.7862030625,,,
2017-11-24,,991983.3490676001,,,
2017-11-27,,991215.7704773243,,,
2017-11-28,,990955.7013511038,,,
2017-11-29,,991137.0392571532,,,
2017-11-30,,992674.6777728256,,,
2017-12-01,,993445.4252745,,,
2017-12-04,,993797.707875288,,,
2017-12-05,,993388.4587367581,,,
2017-12-06,,992530.1551651536,,,
2017-12-07,,993012.1601941802,,,
2017-12-08,,993880.9872439475,,,
2017-12-11,,993019.2222007017,,,
2017-12-12,,993853.2212477583,,,
2017-12-13,,994283.6088549483,,,
2017-12-14,,993861.0896603636,,,
2017-12-15,,993620.6311118369,,,
2017-12-18,,993396.1494692483,,,
2017-12-19,,993432.8585877547,,,
2017-12-20,,994190.7935037039,,,
2017-12-21,,994212.9817925483,,,
2017-12-22,,994201.6223042445,,,
