ticker,annual_return,sharpe
CSCO,0.07069020084455378,0.2430540931038312
GLD,-0.005092667620961312,-0.041023053368725734
META,-0.24493597065359615,-0.4953277275868737
GOOGL,-0.2671939704643081,-0.8857380857471295
ACN,-0.13916092999802226,-0.5553502729242881
MA,0.05517576213693608,0.19587154013052008
IBM,-0.24551447433944462,-1.6768227452530389
CAT,0.08643761696628298,0.3207917233622368
NVDA,0.37475297215910763,0.6620947687335419
LMT,0.0,0.0
PG,0.07356947752937756,0.40960314587109825
TLT,-0.0533281388724986,-0.35324903001212243
PEP,0.10064361413926484,0.6319976539353218
EEM,0.12196292858287976,0.6938155163883919
AMD,0.4166967296352085,0.760647992092108
TXN,0.06752803310141986,0.2673071705465953
HD,0.4590432368561722,1.464923275104646
UNG,0.348446388965498,0.5226301196803357
BA,0.32608527048489483,0.7109044615255895
HON,0.14964778901679876,0.7042539901130082
UNH,0.2918701374450735,1.2412151169220578
MRK,0.24642976628525678,1.2401919689915217
TSLA,-0.1737734808307499,-0.4047267957004421
SPY,0.16253606486900937,0.7272007627394466
JNJ,0.09625520903645517,0.6403871658047094
XOM,0.2739092287385332,0.8172711393251666
UNP,0.04571112624878635,0.21098609588167364
MMM,-0.12000076771034303,-0.5281854114448059
BRK-B,0.12625931643598823,0.6084122460537171
IWM,0.28926894613424564,1.0986431349261678
SLV,0.20041363261887774,0.704791819652585
KO,0.13571075978682492,0.7931421580428515
QCOM,0.6442114995144583,1.4433571263735354
LLY,0.10998057002698307,0.45694600769481225
INTC,-0.1362577822689194,-0.48113784480778776
PM,0.09936908633512544,0.4721442807209326
AMGN,0.08251392229617534,0.4337912942003157
AVGO,0.03809822561308125,0.12090326817976
QQQ,0.061038917566972606,0.23257840677339242
AMZN,-0.34506795952856617,-1.0092395363371933
COST,0.0,0.0
LIN,0.28358300709362555,1.0745011034417136
DIA,-0.02447788952041126,-0.14215492417341244
MSFT,-0.048776393489201916,-0.16986766317064128
JPM,0.05856684487964033,0.23324254764665645
CVX,0.03432897889645877,0.12553753466336887
DIS,-0.1837178553483884,-0.7431082630909681
RTX,0.29722122842672777,1.1481812931355588
AAPL,-0.017672761961647597,-0.056848569838975856
BAC,0.0,0.0
GE,0.2861187600914774,0.9255226451517905
TMO,0.2317105872823097,0.7275472499414772
USO,0.0,0.0
PFE,0.1532514422969142,0.6257725956556418
DE,0.4285066029794219,1.3422512551568264
V,0.08306834935867184,0.3404502898719514
ABBV,-0.13219526474020432,-0.7074845272177358
GS,0.20959813068484234,0.7312466151901913
