ticker,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_hit_rate,bh_annual_return,bh_annual_volatility,bh_sharpe,bh_max_drawdown,bh_hit_rate
MSFT,0.655211879348794,0.24156993602430918,2.712307210624339,-0.2654650549950164,0.41867624422780914,0.2761588077064634,0.28096056259493185,0.9829095057180987,-0.4643948932349802,0.5351462288353002
NVDA,1.1004791773673368,0.4086036795115743,2.6932679086071816,-0.5521406476344306,0.418163160595177,0.5376280374390718,0.4831279672186326,1.112806697021073,-1.0887141871493258,0.5402770651616213
TXN,0.5948909805466236,0.24716597794152106,2.4068481653545923,-0.19956354384229325,0.40584915341200617,0.17850725814678614,0.29111072156639545,0.6131936920298996,-0.35454460303890023,0.5366854797331965
SPY,0.38329708233424564,0.16554495056131358,2.3153655912463624,-0.22227928753586257,0.43201641867624424,0.10242934397315806,0.18833976599674096,0.5438540471316636,-0.4112407915278049,0.5413032324268856
QCOM,0.6803225955761933,0.30829022059809447,2.206760221768768,-0.299433375788535,0.37814263724987174,0.09780773432352663,0.3739104029332157,0.2615806716161254,-0.5849820224604784,0.512570548999487
V,0.49219664182113787,0.22636557079891861,2.1743440934238096,-0.19680544002298772,0.42637249871729094,0.16975006221200184,0.26236947719051257,0.6469886056476851,-0.4520052133693002,0.5443817342226783
QQQ,0.4221510733277092,0.20080923143550924,2.1022493354011207,-0.2268139040284276,0.4391995895330939,0.1356799091188321,0.22962808351119893,0.5908680987280679,-0.4326111357401472,0.5561826577732171
AMD,1.0046005792398396,0.48520731899253966,2.070456359408886,-0.6732367050490167,0.3786557208825038,0.5077496528480143,0.6026936757817759,0.8424671989288651,-1.0627609846923836,0.5064135454079015
MA,0.5120913895511547,0.2546323335132419,2.011101192396385,-0.27194048798942694,0.42996408414571574,0.20312885204887077,0.2883041022578244,0.7045645568623121,-0.527585614168052,0.5489994869163674
UNH,0.4596236673367238,0.2291907247709089,2.005420017743509,-0.15728091182093973,0.4079014879425346,0.23334988363904952,0.2665512696494463,0.8754409009041246,-0.44472408644906203,0.5325808106721396
DIA,0.3388512315395451,0.16996221726834151,1.9936856378177068,-0.21401343857214794,0.4212416623909697,0.10697419170939715,0.18877179730121282,0.5666852423866278,-0.4572221080616503,0.5448948178553105
DE,0.49773284061540224,0.255708463373572,1.9464855955442104,-0.22528496072713655,0.40533606977937403,0.24964974146044416,0.30846484731450335,0.8093296323191967,-0.47663224246710906,0.5264238070805541
CSCO,0.4403940095334753,0.22881629614770438,1.9246619097845823,-0.2637939181768427,0.40533606977937403,0.10797562428241259,0.2632827209062861,0.41011283957691186,-0.5438847751037902,0.5197537198563366
AMZN,0.5008154310127422,0.2775325850816313,1.8045283975048774,-0.49310561714558165,0.41662390969728064,0.2133655533827652,0.33143010342960516,0.6437724008014964,-0.8242874514139067,0.5366854797331965
AAPL,0.4647657036151329,0.25902622753355803,1.7942804790102593,-0.29062373944737085,0.41046690610569525,0.21474706928618237,0.30048082265128007,0.714678119526466,-0.48639168098142993,0.521806054386865
