ticker,annual_return,sharpe
CSCO,7.9529639109751376,11.061809875144487
GLD,0.7676214767024601,4.532912024649815
META,35.64076767671289,7.873234415755396
GOOGL,17.874305132410946,9.33237197823124
ACN,15.480398067308201,11.371256343235768
MA,12.342540456617181,11.068866002843848
IBM,4.012994311625911,7.929058024783369
CAT,8.013178885253065,8.608309430069548
NVDA,186.01942777912635,10.877399246094239
LMT,0.0,0.0
PG,2.329234481336507,7.301882407290827
TLT,0.794726262275218,3.4428674865517235
PEP,2.838217164735518,8.13395540281272
EEM,4.329875698621725,9.218654175681824
AMD,167.853112150486,10.857587548844318
TXN,11.127499799803214,10.078283446664166
HD,7.098600881637823,8.366016099859335
UNG,3.756365631903682,2.2721984380868934
BA,22.966498894195233,8.253709226210749
HON,4.149709999664181,8.356656842415305
UNH,2.3971128699468727,6.077701280849558
MRK,0.9457755560102543,3.897053506352737
TSLA,29.29614254479847,6.160455899243555
SPY,11.175464210312322,13.549816335165568
JNJ,1.2178495161420404,5.786771631360774
XOM,5.251112955198032,5.920057974714139
UNP,3.666894298051603,7.0205025975271775
MMM,4.716062045861651,7.057224181319724
BRK-B,5.194935502936782,10.078030599955158
IWM,14.810150015576777,13.123677169104933
SLV,5.2478973828023925,6.875623467873643
KO,2.300873745919809,7.882354827964913
QCOM,29.316283093686998,9.451862708029516
LLY,2.4356664842779874,5.256804697992117
INTC,22.33071051969363,10.601594098329862
PM,1.778370574259959,5.659303134005835
AMGN,1.0603300413104813,4.185988381197328
AVGO,18.562318613935467,10.619606937744658
QQQ,20.37772102771596,12.465284365813103
AMZN,43.27461514823148,9.200110775703516
COST,0.0,0.0
LIN,7.120576804148669,9.41283357199976
DIA,6.018770155351342,12.748693533658257
MSFT,16.592793068295812,9.897860211144195
JPM,6.100722449263924,9.106702292611349
CVX,4.701104153382437,6.0533424720512725
DIS,19.01363464487742,10.195212852393091
RTX,3.9145224588082845,6.914912702496208
AAPL,21.353552203926206,10.51322835089783
BAC,0.0,0.0
GE,10.01725258196367,8.162685642694628
TMO,9.111693480742938,8.315083749484058
USO,0.0,0.0
PFE,2.466321146923356,5.4743047825196545
DE,5.789452772688253,7.555343567251945
V,8.924082851670661,9.905857939380692
ABBV,1.7961608637732347,5.708155103243812
GS,9.45369730670576,9.999092760739426
