ticker,annual_return,sharpe,hit_rate
KO,1.7420448345951138,11.137188809927986,0.588
PG,1.549913336587358,8.77864855679116,0.536
PEP,2.1227913747528677,12.99839160064963,0.588
CSCO,6.156818476891125,31.697905343275306,0.596
ACN,8.727414545564276,34.41522524723911,0.592
NVDA,128.7676094308704,270.01650314982896,0.604
GOOGL,13.121014478200788,43.33195805939734,0.596
BAC,0.0,0.0,0.0
AMZN,30.7299394926709,79.1851180397915,0.596
ABBV,1.5218620842116608,8.914326955925306,0.512
AMGN,1.4461013646314247,7.93429018423636,0.492
GS,5.865253175352721,23.621010527749114,0.576
JPM,4.283769164054201,18.50428810931157,0.524
PFE,1.7198965771640178,7.340459097459274,0.516
AAPL,14.763462540910542,52.13333843049987,0.608
AVGO,12.900462461789525,44.43979244720004,0.58
UNP,2.5584836798818156,12.129781051072383,0.528
TLT,0.5694622270874286,3.4677063703067894,0.404
GE,5.828159571042538,20.121405522274117,0.54
UNH,2.0139149671296286,10.049526813736627,0.536
XOM,4.007828462894666,13.169479314964331,0.512
BRK-B,4.092142584268056,23.361830548278817,0.584
DIA,4.585207092431859,31.07765096465198,0.632
DE,4.080721579299687,15.793519160945952,0.52
JNJ,1.0658847696943416,7.523612956641564,0.492
META,31.268741280861654,59.957122711835694,0.568
TSLA,35.45275193479142,64.29760367175696,0.532
CVX,3.7674115696265797,13.95414738208885,0.504
USO,0.0,0.0,0.0
UNG,2.590720527540727,3.9118831140570776,0.368
RTX,3.3685523833703916,15.491930839350955,0.56
MMM,3.377525103373541,14.219744423761744,0.52
COST,0.0,0.0,0.0
HD,5.126325222954432,20.555770455124474,0.516
INTC,14.483990187458058,49.84423613751067,0.576
IBM,2.9914082268158833,15.88698208141275,0.56
MRK,0.6927655372905182,4.085160322581181,0.42
EEM,2.859343014299037,14.526015317135418,0.56
SLV,2.667122151881916,10.428346674042889,0.444
MSFT,11.379930699812075,40.7012215340772,0.6
BA,14.531876377190695,39.17790654407108,0.536
HON,3.5878805735449033,17.482901932258738,0.576
AMD,91.25669881911476,191.99334709243547,0.592
V,6.9304167670889205,27.69386587442272,0.576
TMO,4.869463552451428,18.070048384023398,0.532
CAT,5.314448716345055,21.22850368954794,0.544
MA,7.958247065004098,30.54712862546107,0.576
DIS,10.168185152107224,35.51278008726676,0.54
GLD,0.4102248707786047,3.1285062160226302,0.452
TXN,9.953435729396084,40.29664060247226,0.584
LLY,2.198082093302984,10.039459196033294,0.48
IWM,10.455769747803828,50.21311264207613,0.632
QCOM,23.20569852783218,62.89500540135543,0.588
LMT,0.0,0.0,0.0
LIN,5.09333603351201,22.652804371691442,0.576
SPY,8.35309518504267,46.90359662149949,0.648
PM,1.0961921240413144,5.8821270130617975,0.468
QQQ,16.048273603171957,66.46981678834983,0.636
